var,bin,bin_lo,bin_hi,bin_mid,n,pos_rate,method,brier,logloss,ece,acc@0.5,f1@0.5
mag,2,-0.6219603419303894,-0.2605365782976149,-0.44124846011400215,100001,0.7267227327726723,magbinned_isotonic,0.127144773002561,0.40743000743788854,0.00618959061154709,0.8247517524824751,0.8855824035203406
mag,3,-0.2605365782976149,-0.006221523508429527,-0.1333790509030222,99999,0.5075950759507595,uncalibrated,0.1874970301125597,0.5534199240227737,0.12213701374959376,0.7126571265712657,0.7653371226969816
mag,3,-0.2605365782976149,-0.006221523508429527,-0.1333790509030222,99999,0.5075950759507595,beta,0.17006218806563672,0.5072585120152414,0.007261300633167727,0.7422674226742267,0.7506554569817052
mag,3,-0.2605365782976149,-0.006221523508429527,-0.1333790509030222,99999,0.5075950759507595,isotonic,0.17005880491886555,0.5073084152763814,0.005907581333590666,0.7419774197741977,0.7531759393893013
mag,3,-0.2605365782976149,-0.006221523508429527,-0.1333790509030222,99999,0.5075950759507595,magaware_platt,0.1701802007873258,0.5075507593096397,0.011862242091898883,0.7420674206742067,0.7485351610104221
mag,3,-0.2605365782976149,-0.006221523508429527,-0.1333790509030222,99999,0.5075950759507595,magbinned_beta,0.17001495042314527,0.5071827951649702,0.005528651443116474,0.7419974199741998,0.7518610421836228
mag,3,-0.2605365782976149,-0.006221523508429527,-0.1333790509030222,99999,0.5075950759507595,magbinned_isotonic,0.17007530526869977,0.5072900716135993,0.006581601350306381,0.7418874188741887,0.7483400446554801
mag,4,-0.006221523508429527,0.19298875331878662,0.09338361490517855,100000,0.28233,uncalibrated,0.1597542456645767,0.4780732771895721,0.11722945114109405,0.75366,0.6252700112568074
mag,4,-0.006221523508429527,0.19298875331878662,0.09338361490517855,100000,0.28233,beta,0.1430603352767495,0.43511781314036635,0.009056413768646361,0.78781,0.5447641114758319
mag,4,-0.006221523508429527,0.19298875331878662,0.09338361490517855,100000,0.28233,isotonic,0.14309506305747421,0.4352931384981486,0.0065480950215924885,0.788,0.5539659162634126
mag,4,-0.006221523508429527,0.19298875331878662,0.09338361490517855,100000,0.28233,magaware_platt,0.14313682326516028,0.4353082940883684,0.011229391078425598,0.78756,0.5408886583679114
mag,4,-0.006221523508429527,0.19298875331878662,0.09338361490517855,100000,0.28233,magbinned_beta,0.14298070802217136,0.43493368276921623,0.00647611979973574,0.78704,0.5577705789517402
mag,4,-0.006221523508429527,0.19298875331878662,0.09338361490517855,100000,0.28233,magbinned_isotonic,0.14314671672265386,0.4356979704883368,0.006805677423940294,0.78669,0.5742570305171347
mag,5,0.19298875331878662,0.36840001344680806,0.28069438338279734,100001,0.13689863101368988,uncalibrated,0.0969151297336189,0.31813668368474357,0.08899005150429912,0.8713612863871362,0.5143461189972818
mag,5,0.19298875331878662,0.36840001344680806,0.28069438338279734,100001,0.13689863101368988,beta,0.08586585479723646,0.2829005458796881,0.006503244105909749,0.8836111638883611,0.39193354579175593
mag,5,0.19298875331878662,0.36840001344680806,0.28069438338279734,100001,0.13689863101368988,isotonic,0.08583649918448066,0.28278769447705615,0.003981921281837026,0.8837711622883772,0.40072183552461976
mag,5,0.19298875331878662,0.36840001344680806,0.28069438338279734,100001,0.13689863101368988,magaware_platt,0.08589726871811933,0.28304290293218765,0.008068995417576334,0.8836311636883631,0.39057344854674
mag,5,0.19298875331878662,0.36840001344680806,0.28069438338279734,100001,0.13689863101368988,magbinned_beta,0.08588102833085505,0.2829142544959889,0.00625233781527281,0.8836111638883611,0.3956591723350122
mag,5,0.19298875331878662,0.36840001344680806,0.28069438338279734,100001,0.13689863101368988,magbinned_isotonic,0.08592900752181407,0.28530838374340695,0.005881508209323997,0.8837111628883711,0.3994215772349326
mag,6,0.36840001344680806,0.5480600357055665,0.4582300245761873,100000,0.06336,uncalibrated,0.050005668332001305,0.18589404951875532,0.05840698433982597,0.9397,0.4516187704619862
mag,6,0.36840001344680806,0.5480600357055665,0.4582300245761873,100000,0.06336,beta,0.04386337838749731,0.1604098734667084,0.004062453831227179,0.94494,0.3630263766774641
mag,6,0.36840001344680806,0.5480600357055665,0.4582300245761873,100000,0.06336,isotonic,0.04386638567742662,0.16035001771870303,0.00300889997844606,0.94505,0.373931867380654
mag,6,0.36840001344680806,0.5480600357055665,0.4582300245761873,100000,0.06336,magaware_platt,0.043875387894496735,0.1605949140765454,0.005352935692067326,0.94495,0.36380446088061946
mag,6,0.36840001344680806,0.5480600357055665,0.4582300245761873,100000,0.06336,magbinned_beta,0.04384900441890293,0.16029942964533148,0.0024965409852077867,0.94498,0.36816720257234725
