var,bin,bin_lo,bin_hi,bin_mid,n,pos_rate,method,brier,logloss,ece,acc@0.5,f1@0.5,brier_base,ece_base,logloss_base,delta_brier,delta_ece,delta_logloss
FWHM_WMEAN_I,0,-4.28941011428833,-1.2157548666000366,-2.7525824904441833,99992,0.3348967917433395,magbinned_beta,0.06901267287534513,0.22890226587781598,0.004823032217096369,0.9045923673893912,0.8557299700571636,0.07559052547289052,0.05647382193577722,0.2508613667475605,-0.006577852597545397,-0.05165078971868085,-0.021959100869744508
FWHM_WMEAN_I,0,-4.28941011428833,-1.2157548666000366,-2.7525824904441833,99992,0.3348967917433395,magbinned_isotonic,0.0690232332160861,0.2299360236838309,0.004258669774559218,0.9046023681894552,0.8561388691993304,0.07559052547289052,0.05647382193577722,0.2508613667475605,-0.006567292256804427,-0.052215152161218005,-0.02092534306372959
FWHM_WMEAN_I,1,-1.2157548666000366,-0.8456176519393921,-1.0306862592697144,100003,0.3491095267141986,uncalibrated,0.08058397695571308,0.266048201980525,0.062488960048642433,0.888203353899383,0.8515153929928015,0.08058397695571308,0.062488960048642433,0.266048201980525,0.0,0.0,0.0
FWHM_WMEAN_I,1,-1.2157548666000366,-0.8456176519393921,-1.0306862592697144,100003,0.3491095267141986,beta,0.07288203191822706,0.2407256473103991,0.004575520129962068,0.8982230533084008,0.8526507803225526,0.08058397695571308,0.062488960048642433,0.266048201980525,-0.007701945037486016,-0.057913439918680365,-0.02532255467012587
FWHM_WMEAN_I,1,-1.2157548666000366,-0.8456176519393921,-1.0306862592697144,100003,0.3491095267141986,isotonic,0.07283729387034107,0.24088176321819071,0.002630527328462502,0.8986530404087877,0.8540067126661961,0.08058397695571308,0.062488960048642433,0.266048201980525,-0.007746683085372005,-0.05985843272017993,-0.025166438762334264
FWHM_WMEAN_I,1,-1.2157548666000366,-0.8456176519393921,-1.0306862592697144,100003,0.3491095267141986,magaware_platt,0.07289329341401558,0.24069664209417363,0.006103412185012969,0.8986030419087427,0.8527361449982572,0.08058397695571308,0.062488960048642433,0.266048201980525,-0.007690683541697496,-0.05638554786362947,-0.02535155988635135
FWHM_WMEAN_I,1,-1.2157548666000366,-0.8456176519393921,-1.0306862592697144,100003,0.3491095267141986,magbinned_beta,0.07284661636891199,0.24053186361088402,0.0036850282124962345,0.8984830455086348,0.8532566274464456,0.08058397695571308,0.062488960048642433,0.266048201980525,-0.0077373605868010925,-0.0588039318361462,-0.025516338369640956
FWHM_WMEAN_I,1,-1.2157548666000366,-0.8456176519393921,-1.0306862592697144,100003,0.3491095267141986,magbinned_isotonic,0.07280689330382185,0.24166105610589955,0.0028683714849305625,0.8987930362089137,0.8542335776936039,0.08058397695571308,0.062488960048642433,0.266048201980525,-0.007777083651891226,-0.05962058856371187,-0.024387145874625427
FWHM_WMEAN_I,2,-0.8456176519393921,-0.5627645254135132,-0.7041910886764526,99999,0.34556345563455637,uncalibrated,0.079741290442627,0.26279365036033825,0.06160817017393023,0.8879188791887919,0.8497305124286059,0.079741290442627,0.06160817017393023,0.26279365036033825,0.0,0.0,0.0
FWHM_WMEAN_I,2,-0.8456176519393921,-0.5627645254135132,-0.7041910886764526,99999,0.34556345563455637,beta,0.07217424774321059,0.23799717997591446,0.004438491227115333,0.9005690056900569,0.8544834550483689,0.079741290442627,0.06160817017393023,0.26279365036033825,-0.00756704269941641,-0.05716967894681489,-0.024796470384423785
FWHM_WMEAN_I,2,-0.8456176519393921,-0.5627645254135132,-0.7041910886764526,99999,0.34556345563455637,isotonic,0.07218311739229454,0.2380168707016349,0.004207477276823678,0.9004890048900489,0.8550874484847603,0.079741290442627,0.06160817017393023,0.26279365036033825,-0.007558173050332462,-0.05740069289710655,-0.02477677965870334
FWHM_WMEAN_I,2,-0.8456176519393921,-0.5627645254135132,-0.7041910886764526,99999,0.34556345563455637,magaware_platt,0.0721599610778167,0.23798042450016493,0.005891125769898902,0.9004590045900459,0.8538240131578947,0.079741290442627,0.06160817017393023,0.26279365036033825,-0.007581329364810291,-0.05571704440403133,-0.024813225860173316
FWHM_WMEAN_I,2,-0.8456176519393921,-0.5627645254135132,-0.7041910886764526,99999,0.34556345563455637,magbinned_beta,0.0721336124962456,0.23786806656789947,0.003911515173336488,0.9002490024900249,0.8542753210325634,0.079741290442627,0.06160817017393023,0.26279365036033825,-0.007607677946381397,-0.05769665500059374,-0.024925583792438782
FWHM_WMEAN_I,2,-0.8456176519393921,-0.5627645254135132,-0.7041910886764526,99999,0.34556345563455637,magbinned_isotonic,0.0721786674756514,0.2394507694689391,0.003660915911789468,0.8999589995899959,0.8542880447448147,0.079741290442627,0.06160817017393023,0.26279365036033825,-0.007562622966975602,-0.05794725426214076,-0.02334288089139916
FWHM_WMEAN_I,3,-0.5627645254135132,-0.31082335114479065,-0.4367939382791519,99997,0.3400002000060002,uncalibrated,0.07989154378874999,0.2639793722040952,0.06203808330007442,0.889346680400412,0.8491335233082912,0.07989154378874999,0.06203808330007442,0.2639793722040952,0.0,0.0,0.0
FWHM_WMEAN_I,3,-0.5627645254135132,-0.31082335114479065,-0.4367939382791519,99997,0.3400002000060002,beta,0.07212113824206375,0.23889616149662396,0.004225319591322359,0.9003770113103393,0.8518661710037174,0.07989154378874999,0.06203808330007442,0.2639793722040952,-0.007770405546686246,-0.05781276370875206,-0.025083210707471215
